GeneSymbol	n	Tissues
727	STAT3	3	1
728	STAU2	3	1
729	SUOX	3	1
730	SUPT20H	3	1
731	SYVN1	3	1
732	TBL2	3	1
733	TCP1	3	1
734	UBAP2	3	1
735	WBP2	3	1
736	ZC3H14	3	1
737	ZC3H15	3	1
738	ZNF143	3	1
739	MYBPC1	3	1
740	CORIN	3	1
741	PSMC3IP	2	2
742	ARSD	2	2
743	CDKN2A	2	2
744	COL4A5	2	2
745	KCNK2	2	1
746	RP1-178F15.5	2	2
747	SIRT2	2	2
748	TMEM104	2	2
749	ACTR3B	2	2
750	ATF2	2	2
751	CEP57L1	2	2
752	CHMP7	2	2
753	DMXL1	2	2
754	ERGIC2	2	1
755	FRG1	2	1
756	GABRB3	2	2
757	GALC	2	2
758	HDLBP	2	2
759	JAM3	2	2
760	MED20	2	2
761	NEK9	2	2
762	PABPC4	2	2
763	PPP3CB	2	2
764	QTRT2	2	2
765	SMC1A	2	2
766	SNX13	2	2
767	SPARC	2	2
768	SUDS3	2	2
769	SUMO1	2	1
770	TIAM2	2	2
771	TOP3B	2	2
772	ZHX3	2	2
773	GLI2	2	2
774	LINC01088	2	2
775	CD99	2	2
776	FYN	2	2
777	AQP7	2	2
778	EFEMP1	2	2
779	ARHGEF7	2	2
780	ARHGEF9	2	1
781	ARIH1	2	2
782	ARNTL	2	2
783	ATP6V1B2	2	2
784	BTBD10	2	2
785	BTBD9	2	1
786	C5orf22	2	2
787	CADPS	2	2
788	CASP3	2	1
789	CTDSPL2	2	2
790	DCAF6	2	2
791	DEF8	2	2
792	DNAJC27	2	2
793	EDC3	2	1
794	EPHA4	2	2
795	FAM135A	2	1
796	FAM13B	2	2
797	FAM65A	2	2
798	FTO	2	2
799	GFPT1	2	2
800	GRIA4	2	2
801	IDI2-AS1	2	1
802	IL2RG	2	2
803	KIF3C	2	1
804	KIFAP3	2	2
805	KLHL18	2	2
806	KPNA5	2	2
807	KRIT1	2	2
808	LAIR1	2	2
809	LMBR1L	2	1
810	LRRC14	2	2
811	LRRFIP1	2	2
812	MAPT	2	2
813	MEF2D	2	2
814	MEGF6	2	2
815	MICAL2	2	2
816	MTCL1	2	2
817	NASP	2	2
818	NIN	2	2
819	NRXN1	2	1
820	NT5DC3	2	2
821	PAK1	2	1
822	PIP5K1B	2	2
823	PPM1J	2	2
824	PRC1	2	2
825	PTPRR	2	1
826	RABGAP1L	2	2
827	RASGRP1	2	2
828	SATB1-AS1	2	1
829	SEMA4F	2	2
830	SERPING1	2	1
831	SLC25A29	2	1
832	SMARCE1	2	2
833	SNHG14	2	2
834	SRRM3	2	2
835	ST7	2	2
836	STRBP	2	2
837	SYNPR	2	1
838	TMEM129	2	1
839	TMEM237	2	2
840	TMEM246	2	2
841	TRAF3	2	2
842	TRAK1	2	2
843	TRIM23	2	2
844	TSFM	2	2
845	UGP2	2	2
846	UNC80	2	1
