Run	Bases	biospecimen_repository_sample_id	body_site	submitted_subject_id
SRR1481297	6995307824	GTEX-13N1W-0626-SM-5MR4U	Breast - Mammary Tissue	GTEX-13N1W-0626-SM-5MR4U
SRR1455391	7486188632	GTEX-11DXZ-1926-SM-5GZZL	Breast - Mammary Tissue	GTEX-11DXZ-1926-SM-5GZZL
SRR1455861	4517911808	GTEX-QMRM-1626-SM-4R1KV	Breast - Mammary Tissue	GTEX-QMRM-1626-SM-4R1KV
SRR1455902	5959201648	GTEX-ZYFC-0826-SM-5E44K	Breast - Mammary Tissue	GTEX-ZYFC-0826-SM-5E44K
SRR1456010	5568510576	GTEX-14753-2426-SM-5LU8U	Breast - Mammary Tissue	GTEX-14753-2426-SM-5LU8U
SRR1456818	4459914080	GTEX-12WSN-1326-SM-5GCNT	Breast - Mammary Tissue	GTEX-12WSN-1326-SM-5GCNT
SRR1457245	5216376888	GTEX-ZVE2-1226-SM-5NQ8R	Breast - Mammary Tissue	GTEX-ZVE2-1226-SM-5NQ8R
SRR1457705	5706145208	GTEX-12WSM-1726-SM-5BC6J	Breast - Mammary Tissue	GTEX-12WSM-1726-SM-5BC6J
SRR1459561	6281367320	GTEX-ZVTK-0326-SM-51MRR	Breast - Mammary Tissue	GTEX-ZVTK-0326-SM-51MRR
SRR1459866	6250579568	GTEX-ZA64-1526-SM-5CVMD	Breast - Mammary Tissue	GTEX-ZA64-1526-SM-5CVMD
SRR1498951	5405464280	GTEX-ZWKS-2826-SM-5NQ74	Breast - Mammary Tissue	GTEX-ZWKS-2826-SM-5NQ74
SRR1406224	5673969696	GTEX-13FHO-0826-SM-5L3E8	Breast - Mammary Tissue	GTEX-13FHO-0826-SM-5L3E8
SRR1406621	5121316088	GTEX-11TT1-2126-SM-5GU5Y	Breast - Mammary Tissue	GTEX-11TT1-2126-SM-5GU5Y
SRR1408014	6624196480	GTEX-13NZ9-1026-SM-5MR5K	Breast - Mammary Tissue	GTEX-13NZ9-1026-SM-5MR5K
SRR1408574	4969996744	GTEX-U412-1826-SM-4DXTJ	Breast - Mammary Tissue	GTEX-U412-1826-SM-4DXTJ
