num.nmd	num.transcripts	nmd.ids
1766	0	0	
1767	0	1	
1768	3	4	*********
1769	0	5	
1770	1	1	***
1771	1	1	***
1772	1	1	***
1773	1	1	***
1774	0	0	
1775	0	1	
1776	1	1	***
1777	0	15	
1778	0	0	
1779	0	0	
1780	0	1	
1781	0	1	
1782	1	1	***
1783	1	1	***
1784	2	2	******
1785	1	1	***
1786	4	4	************
1787	1	1	***
1788	1	1	***
1789	1	1	***
1790	10	10	******************************
1791	1	1	***
1792	0	2	
1793	0	40	
1794	0	1	
1795	0	0	
1796	1	1	***
1797	0	1	
1798	0	0	
1799	0	0	
1800	1	1	***
